image_path,distractor_1,distractor_2,ar
142269.jpg,I should buy the watch because I'm a man who has everything,I should buy the perfect gift because watches are running out,I should buy the watch because it makes the perfect gift.
111237.jpg,I should drink Ovaltine in the morning because I will enjoy its freshness,I should buy Ovaltine because their beds will make me feel fresh and rested,I should buy and drink Ovaltine because it will help me to get a great nights sleep.
134982.jpg,I shouldn't smoke Chesterfield cigarettes because science says they are bad,I should smoke scientific evidence because it is milder than chesterfield,I should smoke Chesterfield cigarettes because they are milder than others.
125683.jpg,I should buy this make up because I love taking photos with bad lighting,I should buy this shampoo because it will make me ready to be photographed,I should buy this make up because it will make me feel beautiful in any lighting.
117607.jpg,I should apply to work with Ascentium Capital because their three manufacturers belong to a leading organization,I should apply to work with Ascentium Capital because I am recruiting professionals with expertise in specialized segments,I should apply to work with Ascentium Capital because their proprietary finance platform can merge with my superior equipment financing sales skills.
26130.jpg,I should use this advertisement service because I will find a new desk lamp on Etsy,I should use Etsy advertisement service because my baby doesn't like to sit on my lap,I should use this advertisement service.  because it will help me sell products on etsy. 
11724.jpg,I should drink Orangina because a deer wearing heels lives in a bubble,I should drink juicy water because Orangina is sitting on an ice cube,I should drink Orangina  because it is bubbly and with an intense orange flavor 
20642.jpg,I should eat Cadbury's because I like to walk in the countryside,I should eat Cadbury's milk because it tastes like chocolate,I should eat Cadbury's milk chocolate  because it is milky 
99607.jpg,I should buy this Mitsubishi car because I like Japan,I should buy this Mitsubishi car because it will wake me up,I should buy this Mitsubishi car.  because i can take control. 
176155.png,I should buy this product because it will make me feel like my life is a rollercoaster on a cloudy day,I should buy a carousel because it will make my breaks better and is funnier than a rollercoaster,"I should buy this product because it will make you feel like there is a ray of sunshine on you, even on a cloudy day."
4242.jpg,I should buy this cleaner because it will turn my life upside down,I should buy this pan because I will get a cleaner for free,I should buy this cleaner because it will clean my house.
161437.jpg,"I should use Braun Wealth Management Group, LLC because I would love to go skiing with my family once I retire","I should use Braun Wealth Management Group, LLC because my portfolio says I should retire in the future","I should use Braun Wealth Management Group, LLC for my retirement, portfolio, and insurance needs because they serve families just like mine."
1099.jpg,I should drive a BMW because it is slower than a Mercedes, I should drive a BMW because I like Mercedes better,I should drive a BMW because it's better than a mercedes.
33133.jpg,I should buy CoverGirl because my eyes are sensitive to light,I should buy CoverGirl mascara because it makes my hair brighter,I should buy CoverGirl  because it lights my eyes up
84936.jpg,I should purchase Lancome because I will make me go to Paris,I should purchase purple eyeshadow because Lancome has pink lips,I should purchase Lancome eyeshadow because it will make me beautiful.
24046.jpg,I should by my food from the El Rancho market because mango is their Saturday special and they make cakes on Fridays,I should by my food from the El Rancho market because their boneless beef is great with tortillas and their cooking oil is very fresh,I should by my food from the El Rancho market.  because they have great deals. because their products are fresh.
165290.jpg,I should should buy this Beringer wine because I like sitting underneath a tree,I should buy a holiday to Napa valley because there is great wine there,I should buy this Beringer wine.  because it is like being in napa valley. 
159426.jpg,I should buy these shoes because they will make me hug people,I should buy these shoes because I like to play your game,I should buy these shoes because they will help you perform sports really well.
87235.jpg,I should buy these bags because they are magical and ever teaching,I should buy a new backpack because mountains move forever,I should buy these bags because it will make adventures easier.
141943.jpg,I should stay updated on Australia because surfing is nice there,I should stay updated on this man because my wave is in color,I should stay updated on this man because his tour will be interesting.
60698.jpg,I should buy GE refrigerators because there are 5 reasons to love ice cold lemonade,I should buy GE fruit because my kids love to put it in the refrigerator together with ice cubes,I should buy GE refrigerators because they are affordable and keeps my family safe and happy.
88906.jpg,I should be driving a GM because gold bars recommend it,"I should be driving a GM I weigh 3,302 pounds",I should be driving a GM because it is luxurious.
141865.jpg,I should use these headphones because I sing underwater,I should use these headphones because they are my favourite,I should use these headphones because they are waterproof
173375.png,I should avoid texting my dad because he is driving to his innovative office,I should avoid going to a maze because I'll never be able to drive out of it,I should avoid texting while driving because it makes navigation difficult.
96082.jpg,I should buy a Mazda because going to Arizona just feels right,I should buy TTL suspensions because they are just right for my Mazda,I should buy a Mazda  because it will let me go to a lot of places 
