image_path,distractor_1,distractor_2,flag,ar,annotator_id,text
142269.jpg,I should buy the watch because I'm a man who has everything,I should buy the perfect gift because watches are running out,,I should buy the watch because it makes the perfect gift.,1,"Holidazed?
Is your holiday gift list hard to fill?
A man who has everything
A woman you can't surprise.
A tyrannically tasteful teen?
We have perfect gifts
for everyone.
Arium.
Suave
Week
ARD
We've got
your holiday list covered.
Time's running out, but we're not.
SuatchE
"
111237.jpg,I should drink Ovaltine in the morning because I will enjoy its freshness,I should buy Ovaltine because their beds will make me feel fresh and rested,,I should buy and drink Ovaltine because it will help me to get a great nights sleep.,1,"Enjoy the
Morning Freshness that
eomes from Ovaltine Sleep
the knowlodge that you are loeking and feting your best.
It puts sest into l eies you ily through
your work, and ves yoe the will for the aa or which
e820
the great nond of the day.
One very potan escotial in attaining mech
his by drinking a oup of deticlous ""Ovaltioe"" a bedti
valine
and energy while you leep. Thae iby you awake bom your
"
134982.jpg,I shouldn't smoke Chesterfield cigarettes because science says they are bad,I should smoke scientific evidence because it is milder than chesterfield,,I should smoke Chesterfield cigarettes because they are milder than others.,1,"CHESTERFIELD
IS BEST FOR ME!""
NOW...Scientific Evidence
on Effects of Smoking!
Finst and Only Premium Quality
Cigarette in Both Regular and
45 peent f
King-Size
MUCH MILDER
CHESTERFIFL
IS BEST FOR YOU
GARETTT
"
125683.jpg,I should buy this make up because I love taking photos with bad lighting,I should buy this shampoo because it will make me ready to be photographed,,I should buy this make up because it will make me feel beautiful in any lighting.,1,"NEW
REVLON
Makeup
PHOTOREADY
PhotoReatd
REVION
ial PhotoReady.
PhotoReady
NOW THERE'S NO
such thing
AS BAD lighting.
REVLON
Photochromatic pigments give you
flawless skin in any light.
Halle Bewy is wearing Revion PhotoReady Makeup
"
117607.jpg,I should apply to work with Ascentium Capital because their three manufacturers belong to a leading organization,I should apply to work with Ascentium Capital because I am recruiting professionals with expertise in specialized segments,,I should apply to work with Ascentium Capital because their proprietary finance platform can merge with my superior equipment financing sales skills.,1,"Where the best belong
Ascentium Capital
Enjoy the opportunities that come with joining a leading organization.
Ascentium Capital is recruiting financing and leasing professionals with
expertise in specialized segments.
. Technology
. Software
. Telecommunication
. Healthcare
. And more!
Merge your superior equipment financing sales skills with our proprietary
finance platform to expand our national finance programs for manufacturers,
vendors and direct to businesses.
APPLY NOW!
Email a cover letter and resume to Ascentium
Capital for a confidential discussion:
SalesCareer:@AscentiumCapital.com
ascentiunm
Visit our Linkedln Page!
in
CAPITAL
"
26130.jpg,I should use this advertisement service because I will find a new desk lamp on Etsy,I should use Etsy advertisement service because my baby doesn't like to sit on my lap,,I should use this advertisement service.  because it will help me sell products on etsy. ,1,"Time to Start Advertising
Your Etsy Shop
EverythingEtsu.com
"
11724.jpg,I should drink Orangina because a deer wearing heels lives in a bubble,I should drink juicy water because Orangina is sitting on an ice cube,,I should drink Orangina  because it is bubbly and with an intense orange flavor ,1,"BUBBLES * PULP * BUBBLES SHAKE
"
20642.jpg,I should eat Cadbury's because I like to walk in the countryside,I should eat Cadbury's milk because it tastes like chocolate,,I should eat Cadbury's milk chocolate  because it is milky ,1,"CADBURY's
MILK TOcOLATE
"
99607.jpg,I should buy this Mitsubishi car because I like Japan,I should buy this Mitsubishi car because it will wake me up,,I should buy this Mitsubishi car.  because i can take control. ,1,"LANCER EVOLUTION. PLAY.
Take control of what SPEED magazine called ""..the most potent, meanest machine to come from Japan. Ever.""
The new Mitsubishi Lancer Evolution MR. Built around a turbo-charged, 276hp engine, and factory-loaded with
everything from Bilstein"" shocks to an uitra-light aluminum roof, this ride is miles ahead of the competition.
As well as everyone on the road. The MR starts under $35,000! For more, visit mitsubishicars.com.
10 year/100,000 mile Powertrain Limited Warranty
5 yoar/Unlimited miles Roadside Assistance
5.year/60,000 mile Bumper-to-Bumper Limited Warranty
MITSUBISHI
MOTORS
BEST BACKED CARS IN THE WORLD
wake up and drive
Rad & Zaca-srtenagazine, spra 2004, P 26 İ 2005 Lancer Evuston MR as stren stating M 534,999 Man mees saade sas
Actual prices set ty Deater and vehcle aasabiity may vary. see Dealer tor tierited asty and Fuadside Asistance tens and codas es Backed clain based cn OEM informatian for 20040
For tur es indoenation, 1-383-MITSU-2005 or sit www.usubiicars.com
sold vehelce
"
176155.png,I should buy this product because it will make me feel like my life is a rollercoaster on a cloudy day,I should buy a carousel because it will make my breaks better and is funnier than a rollercoaster,,"I should buy this product because it will make you feel like there is a ray of sunshine on you, even on a cloudy day.",1,"Have a break,
have a Kit Kat.
"
4242.jpg,I should buy this cleaner because it will turn my life upside down,I should buy this pan because I will get a cleaner for free,,I should buy this cleaner because it will clean my house.,1,"for
shiny
surfaces
2
"
